文物名称,时代,图片链接,分类,窑口,文物简介
磁山文化红陶盂,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24902.jpg,红陶,磁山文化,红陶盂，新石器时代磁山文化，高15.3厘米，口径15.3厘米，底径11.3厘米。盂（yú 音于），撇口，圆筒形腹，平底。夹砂红陶，胎壁较厚，表面粗糙。 磁山文化因最初于1972年发现于河北省武安县磁山村而得名。据科学测试，其年代约为公元前6000—前5600年，属于华北地区新石器时代中期文化遗存。盂是一种盛汤浆或饭食的器皿，红陶夹砂能够提高陶器的耐热程度，因此这件红陶盂可能是一件炊器。
磁山文化红陶平底碗,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24961.jpg,红陶,磁山文化,红陶平底碗，新石器时代磁山文化，高6.7厘米，口径18.2厘米，底径6.4厘米。碗敞口，口以下渐内收，平底。泥质红陶，胎壁薄厚不均。磁山文化陶器以红陶为主，碗是其中较常见的器形之一。此碗制作工艺明显带有新石器时代中期陶器的特征。磁山文化因最初于1973年发现于河北省武安县磁山村而得名。据科学测试，其年代约为公元前6000～前5600年，属于华北地区新石器时代中期文化遗存。
龙山文化黑陶双系壶,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/25003.jpg,黑陶,龙山文化,黑陶双系壶，新石器时代龙山文化，高11.5厘米，口径6.5厘米，足径8.2厘米。壶口微外撇，口沿两边置双系。长颈，下部渐广，至肩凸起，扁腹，圈足。足上镂有八个小孔。底外凸。造型规整，胎薄体轻，表面经过打磨，光泽可鉴。据科学测试，龙山文化的年代约为公元前2400—前2000年。龙山文化是我国新石器时代晚期的一种文化，因1928年首次发现于山东章丘龙山镇而得名。龙山文化陶器以砂质黑陶和泥质黑灰陶数量最多，陶器的制法虽然还在使用手制，但快轮拉坯的使用已很普遍，因此器物形体较为规整，胎体明显变薄。黑陶与灰陶的烧造方法一样，均采用强还原气氛烧成。之所以会呈现黑色，是因为在烧成后期将窑停火封门，在窑顶孔上浇水，燃料中的碳素与蒸气结合渗入胎体即成黑色。山东龙山文化的黑陶最为精致，其中有一种素面磨光的黑陶最具特色，其胎体薄而均匀，色泽黑亮，有的薄如蛋壳，故有“蛋壳黑陶”之美称。
齐家文化红陶盉,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24717.jpg,红陶,齐家文化,红陶盉，新石器时代齐家文化，高15厘米，口径9厘米，底径5.7厘米。盉（hé 音禾），阔颈，溜肩，鼓腹，腹以下内收，平底。一侧置短流，另一侧置宽柄。泥质红陶。器表打磨光滑。据科学测试，齐家文化的年代约为公元前2200～前1900年。齐家文化系继承马家窑文化发展而来，是黄河上游新石器时代晚期至青铜时代早期的一种文化。主要遗址在青海、甘肃等地。齐家文化陶器独具特色，代表器形主要有双耳大罐等。盉是一种盛水器，既可以装水来调和酒，也可以用作盥沐的水具。
龙山文化黑陶双系罐,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24778.jpg,黑陶,龙山文化,黑陶双系罐，新石器时代龙山文化，高26.0厘米，口径19.5厘米，底径10.5厘米。罐撇口，圆唇，束颈，溜肩，鼓腹，腹以下渐内收，平底。胎体较薄，表面打磨光亮。通体饰五道弦纹。据科学测试，龙山文化的年代约为公元前2400～前2000年。龙山文化是我国新石器时代晚期的一种文化，因1928年首次发现于山东章丘龙山镇而得名。龙山文化陶器以砂质黑陶和泥质黑灰陶数量最多，陶器的制法虽然还在使用手制，但快轮拉坯的使用已很普遍，因此器物形体较为规整，胎体明显变薄。黑陶与灰陶的烧造方法一样，均采用强还原气氛烧成。之所以会呈现黑色，是因为在烧成后期将窑停火封门，在窑顶孔上浇水，燃料中的碳素与蒸气结合渗入胎体即成黑色。山东龙山文化的黑陶最为精致，其中有一种素面磨光的黑陶最具特色，其胎体薄而均匀，色泽黑亮，有的薄如蛋壳，故有“蛋壳黑陶”之美称。
龙山文化红陶鬶,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24781.jpg,红陶,龙山文化,红陶鬶，新石器时代龙山文化，高39厘米，口径12厘米，足距14厘米。鬶（guī 音规），唇口，口一侧出鸟喙状长流，长颈，下承以三个袋状足。器身一侧置绳状鋬（pàn音盼）手。口沿下及鋬手上端饰乳钉纹。颈、足衔接处饰凸弦纹。器表打磨光亮。据科学测试，龙山文化的年代约为公元前2500～前2000年。此件红陶鬶造型规整，堪称新石器时代晚期龙山文化红陶的代表作品。鬶是一种盛水器，造型有点像鸟。这种器形最早出现在山东地区，山东位于东方，那个时候是少昊和太昊的部落，他们以鸟为图腾，所以就不难理解为什么会出现鬶这样形状的器物了。
大汶口文化白陶双系壶,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24867.jpg,白陶,大汶口文化,白陶双系壶，新石器时代大汶口文化，高19厘米，口径8.8厘米，底径6厘米。壶口微撇，圆肩，腹以下内收，平底。胎较薄。此件器物造型特别，主要是肩、腹部一侧压成扁平状，在腹部中间一侧置两个圆系，两个圆系中间又有一个小乳钉装饰。据科学测试，大汶口文化的年代约为公元前4000～前2200年。白陶出现于新石器时代晚期，距今约5000年。所用原料系纯度较高的陶土，成型后，入窑经约1000℃窑温焙烧而成。
马家窑文化彩陶漩涡菱形几何纹双系壶,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24675.jpg,彩陶,马家窑文化半山类型,彩陶漩涡菱形几何纹双系壶，新石器时代马家窑文化半山类型，高37.7厘米，口径13.8厘米，底径14厘米。壶唇口，直颈，口部置两个对称乳钉装饰，溜肩，鼓腹，腹中部对称置双系。下腹陡收，平底。以红、黑两种色彩描绘纹饰，里口用黑彩描绘弧形纹；颈部以黑彩描绘连弧纹两周；肩、腹部主题纹饰用红、黑两彩描绘漩涡纹四组，漩涡纹内为菱形几何纹；肩部粗弦线及漩涡连线，边缘饰细密的锯齿纹。胎质细腻，表面打磨光滑。据科学测试，马家窑文化半山类型彩陶的年代约为公元前2600～前2300年。彩陶出现于6000多年前，是在烧造红陶的基础上，在黄河流域自东向西发展起来的。此件彩陶属于马家窑文化半山类型。半山类型彩陶的特点是用红彩和黑彩两色相间的锯齿纹为骨架构成各种图案，细部再装饰几何纹、网格纹等，装饰花纹比马家窑类型彩陶复杂，所绘图案面积较广，从口沿至下腹部都有。最常见的有水波纹、漩涡纹、葫芦纹、菱形网纹、平行带纹、方格纹、蛙纹和附加堆纹等。
青莲岗文化彩陶钵,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24865.jpg,彩陶,青莲岗文化,彩陶钵，新石器时代青莲岗文化，高11.2厘米，口径14.5厘米，底径7厘米。钵圆唇，宽肩，肩以下陡收，平底。泥质红陶。器物表面施白色陶衣。肩部以褐彩留白二方连续叶纹装饰，每五片叶子组成一椭圆形图案，共五组。叶纹下饰褐彩圆点纹一周。据科学测试，青莲岗文化的年代约为公元前5400～4400年。青莲岗文化属于新石器时代中期文化，因最初在江苏淮安青莲岗发现而得名。该文化主要分布在鲁中南和苏北，出土陶器主要有鼎、釜、甑等炊器，豆、碗、钵等饮食器。其彩陶多用红、褐、紫彩描绘纹饰。纹饰有双弧线纹、水波纹、八卦纹、十字纹及圆点纹等。此件由江苏邱县四户公社大墩子出土。
马家窑文化彩陶水波纹钵,新石器时代,http://www.dpm.org.cn/Uploads/Picture/dc/24846.jpg,彩陶,马家窑文化马家窑类型,彩陶水波纹钵，新石器时代马家窑文化马家窑类型，高11厘米，口径22.5厘米，底径10厘米。钵圆唇外卷，束颈，口沿以下渐广，平底。泥质红陶。口沿及腹部均以黑彩描绘简单的水波纹。马家窑文化主要分布在甘肃、青海地区，属于新石器时代晚期文化。马家窑类型陶器据科学测试，其年代约为公元前3100～前2700年。新石器时代的先民通常选择在水边南向的台地上聚居，水波纹是他们日常所见河水的图案化表现。
