文物名称,时代,图片链接,分类,种类,文物简介
缂丝花鸟图轴,宋,http://www.dpm.org.cn/Uploads/Picture/dc/15709.jpg,织绣画,缂丝,缂丝花鸟图轴，宋，纵26厘米，横24厘米。图轴以宋徽宗赵佶的画稿为粉本进行摹缂。采用平缂、搭缂、盘梭、长短戗、木梳戗、合色线等繁复的技法将花叶的晕色、鸟羽的纹理表现得惟妙惟肖，行梭运丝的细巧使得所缂物象线条柔美，色泽鲜丽，较好地表现了原画细腻柔婉、高雅华贵的艺术风格。图边缂葫芦形朱印“御书”和赵佶的“天下一人”印。宋代以后的缂丝技法愈趋丰富多变，缂丝作品更多的以名人书画为稿本，以娴熟、繁复的技法追摹，以求表现原作之神韵。
缂丝紫天鹿,北宋,http://www.dpm.org.cn/Uploads/Picture/dc/484.jpg,织绣画,缂丝,缂丝紫天鹿，北宋，纵45.7厘米，宽27.3厘米。清宫旧藏。此织物以紫色为地，在遍地密花中，间饰天鹿、月兔、异兽、翔鸾纹。其缂织技术并不复杂，主要为平缂和环缂，但在表现手法上却有独到之处。对花叶层次的处理不单借助于渲晕及色彩的配置，而且采用不同的纬线密度来表现，即心部纬线细密，向外逐渐粗疏。彩纬有紫、墨绿、棕黄、桔黄、米黄、淡茶、湖蓝、缥、米色等。织物遍地密花的布局以及花枝纹样的造型、用色都极富时代特征。此件缂丝原为书画包首。同类作品于50年代又由文物局拨得一件，织物的构图、配色、技法都基本一致，只在具体动物纹样上略有差别，疑是同一织物的不同部位。
沈子蕃缂丝梅鹊图轴,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/475.jpg,织绣画,缂丝,"沈子蕃缂丝梅鹊图轴，南宋，沈子蕃，纵104厘米，宽36厘米。清宫旧藏。 此图轴丝质，依画稿缂织。以十五六种色丝装的小梭代笔，巧妙搭配，画面色泽和谐。以“通经断纬”的手法缂织，并娴熟地运用了多种缂丝技法。所用丝线之经密度20根/厘米，纬密度44-46根/厘米，精工细密。
　　此缂丝图很好地体现了原画稿疏朗古朴的意趣，画面生动，清丽，典雅，是沈子蕃为数不多的存世作品之一，也是南宋时期缂丝工艺杰出的代表作。
　　图下方缂有“子蕃制”、“沈氏”方印，玉池有“蕉林梁氏书画之印”、“果亲王府图书记”、乾隆帝御笔“乐意生香”，并钤有“乾隆宸翰”、“乾隆御览之宝”、“三希堂精鉴玺”、“石渠定鉴”、“宝笈重编”、“石渠宝笈”、“乾隆鉴赏”、“嘉庆御览之宝”、“宜子孙”、“重华宫鉴藏宝”等印记，可见这幅作品在清皇室藏品中占有重要位置。"
缂丝青碧山水图轴,南宋,http://www.dpm.org.cn/Uploads/Picture/dc/13417.jpg,织绣画,缂丝,《青碧山水图》轴，南宋，沈子蕃织款，缂丝，高88.5厘米，宽37厘米。此图轴采用了织绣中的多种技法，以“渗和戗”、“长短戗” 缂成山纹，以“构缂”法织出轮廓勾边线，以“平缂”用于所有的平涂色块，以“子母经”用于缂织文字和图章。此外，在山、云、水等处局部还以淡彩渲染，使景物阴阳远近，层次分明。此件图轴缂丝运梭如运笔，不失分毫，线条勾勒有力，设色明丽天成。它再现了江南大自然空灵开旷的情趣，又具有笔墨山水画所不能具有的工艺质感之美。是沈氏缂丝山水画的代表作之一，是珍贵的文物。
缂丝赵佶花鸟方轴,元,http://www.dpm.org.cn/Uploads/Picture/dc/10097.jpg,织绣画,缂丝,缂丝赵佶花鸟方轴，元，纵24.5厘米，宽25.3厘米。此为以宋徽宗赵佶所绘花鸟册页做蓝本的缂丝杰作。画面上，粉红色牡丹或含苞或怒放；立于牡丹枝头的鸟雀俯视着小瓢虫，曲尽其妙；展翅的蝴蝶风姿绰约。整幅画面洋溢着春天的气息。此图缂工精致平细，晕色之处以长短戗、木梳戗、掺和戗等技法完成，无着笔。辅以平缂、构缂技法，使画面层次分明，立体感强。用长短戗技法表现的鸟羽、蝶翅等细微之处可谓巧夺天工。此图诗堂有墨书云：“雀踏花枝出素纨，曾闻人说缂丝难。要知应是宣和物，莫作寻常黹绣看。”画心有朱缂“御书”印一方。摹缂古人书画作品是元代缂丝作品的特点之一。绘画作品以缂丝技法传承和表现，既可传达出中国画的意境和神韵，又与纯粹用笔墨渲染的绘画相异，别有一番情趣。此缂丝图为这类作品的代表作之一。
缂丝八仙图轴,元,http://www.dpm.org.cn/Uploads/Picture/dc/10096.jpg,织绣画,缂丝,缂丝八仙图轴，元，纵100厘米，宽45厘米。清宫旧藏。此缂丝图以十余种色丝装成的小梭在白色丝地上依画稿缂织出八仙人物及南极仙翁的形象，表现出八仙祝寿的主题。人物面目清晰，神情平和，服饰飘逸。鹤、鹿、流云、山石、修竹等衬景为画面增添了动感和高雅脱俗的仙境氛围。此图的创意、构图、缂织技法均具有元代缂丝的特点。其经直径为0.15mm，纬直径为0.33mm，经密度为每平方厘米16～20根，纬密度为每平方厘米48～50根。缂法以长短戗、木梳戗、平缂、搭缂、构缂、掺和戗为主，运用了多种技艺。画面线条流畅舒朗，配色典雅，而少量的用金使以冷色调为主的画面平添了几许富丽华美。此缂丝图轴堪称绘画与织造工艺相结合的杰出作品之一。此图钤“乾隆鉴赏”、“三希堂精鉴玺”、“宜子孙”、“乾隆御览之宝”等6印。《盛京书画录》、《秘殿珠林》均有著录，是研究元代缂丝作品的重要实物资料。
缂丝东方朔偷桃图,元,http://www.dpm.org.cn/Uploads/Picture/dc/9995.jpg,织绣画,缂丝,"缂丝东方朔偷桃图，元，纵58.5厘米, 宽33.5厘米。清宫旧藏。此图题材取自东方朔偷桃的典故。画面表现东方朔从仙界偷桃后疾走之状，人物的胡须和飘曳的衣裾，显出疾走的动态。东方朔手持偷摘的蟠桃，回首环顾，面露窃喜，其偷桃得手后的得意之情和担心被仙吏发现的微妙心理被刻画得惟妙惟肖。画面上方祥云缭绕中累累仙桃悬垂枝头，下方配以灵芝、水仙和竹石，以谐音寓意“芝仙祝寿”。画面钤“乾隆御览之宝”、“乾隆鉴赏”、“三希堂精鉴玺”、“宜子孙”和“秘殿珠林”印5方。此幅缂丝图以蓝和浅蓝为主调，配有石青、月白、瓦灰等色。运用平缂、木梳戗等缂织技法。以平缂作色块平涂，在纹样边缘或二色相遇处则使用勾缂进行勾勒，或以长短戗进行调色过渡。寿石用深蓝、蓝和浅蓝三晕色戗缂，以突出山石的立体感。尤以合色线技法颇有特色，如东方朔的手指缝用黑、白二色丝；灵芝的茎部用石青和米色丝表现茎干的糙涩感。整幅作品设色简洁，气韵生动。"
鲁绣芙蓉双鸭图轴,明,http://www.dpm.org.cn/Uploads/Picture/dc/474.jpg,织绣画,鲁绣,鲁绣芙蓉双鸭图轴，明，纵140厘米，宽57厘米。清宫旧藏。此图轴为鲁绣的杰出代表作。丝质，以暗花缎为地，用双丝捻五彩丝线绣制。山石、花瓣等仿中国画晕色手法绣制，以针代笔，层层晕染，效果逼真。画面中芙蓉娇艳绚丽，双鸭与山石花木生趣盎然，风格与江南苏绣的细丝淡彩截然不同，体现出北方民间刺绣朴素苍劲的特征。此图绣工承袭鲁绣传统，运用了套针、打籽、接针、斜缠针、活毛针、擞和针、辫子股针、平针等针法，其绣线直径为0.02-0.05厘米不等，依图案主次而定。此图轴针线细密，绣工整齐均匀，丝理疏朗有致，线条流畅优美，加以用了二十余种艳丽的色线，将鲁绣纹饰苍劲、豪放、优美的特点发挥得淋漓尽致，与原绘画比较，更突出了画中纹饰浮雕般的立体感。
柿红盘绦朵花宋锦,明,http://www.dpm.org.cn/Uploads/Picture/dc/489.jpg,匹料,锦,柿红盘绦朵花宋锦，明，苏州织造，纵142厘米，宽32厘米。清宫旧藏。纬六重织物。柿红色地经、地纬交织成2∶1左向经面斜纹，纹组织为1∶2左向纬面斜纹。经密88根／厘米，地经与纹经比为3∶1，捻向均为Ｓ，捻度中等；纬密6×20根／厘米，均无捻，色彩有墨绿、中绿、浅绿、灰绿、秋香、淡茶、宝蓝、湖蓝、月白、蓝灰、木红、粉红、皂褐、驼、白色等。采用分段换梭方法，每段有彩纬五重，片金勾边。花纹以盘绦构成六边形几何框架，心内填以朵花海棠、勾莲、秋菊、蜀葵为主花。盘绦以宝蓝色纬长跑梭织成，双勾边内填织龟背、锁子、古钱、双矩、方胜、卐字几何小花纹，花回为16×17.3厘米。纹样构图布局均衡，美观大方，色彩富丽典雅，层次分明，是典型的宋锦构图与用色方法，做到了“艳而不火，繁而不乱”。此锦原为“文徵明墨迹”包首，是宋锦中的上乘之作。
洒线绣蜀葵荷花五毒纹经皮面,明,http://www.dpm.org.cn/Uploads/tupianyingxiang/null-新00189186-洒线绣五毒花卉纹经面-全形_2017412134026.jpg,织绣画,京绣,洒线绣蜀葵荷花五毒纹经皮面，明，纵30厘米，横27厘米。面料以黄色二经绞直经纱为底衬，上用红、蓝、黄、绿、棕、白等色衣线和蜀绒线为绣线，采取二至三色润色法，用散套、正戗、平针、缉线、反戗针等针法绣制花纹。经皮面上部绣五色云，下部绣争奇斗艳的荷花和蜀葵，并在硕大的蜀葵叶上饰有蜈蚣、蝎子等五毒纹饰，花纹为间隔排列。其经皮面用红色衣线以洒线绣技法绣制菱形锦纹地；用光泽性较差的衣线绣制五彩云及花叶；用光泽性较强的劈绒线绣制花朵。暗地暗叶衬托出亮丽的花朵，尤其是采用反戗针、缉线法绣制五毒、花瓣的边缘，使花纹更富层次感，更具立体效果，宛如天成。此经皮面构思巧妙，用线讲究，设色浓丽自然，古朴大方，绣工娴熟精湛，具有明代织绣图案的装饰风格，是明代刺绣高手所制，为明代京绣之精品。
