文物名称,时代,图片链接,分类,作者,文物简介
顾恺之洛神赋图卷（宋摹）,东晋,http://www.dpm.org.cn/Uploads/Picture/2017/04/14/s58f034514fc6d.jpg,人物,顾恺之 (宋摹),《洛神赋图》卷，晋，顾恺之(宋摹)，绢本，设色，纵27.1厘米，横572.8厘米。此图是根据三国(220--265年)魏人曹植所写《洛神赋》而创作的故事画。画面开首描绘曹植在洛水河边与洛水女神瞬间相逢的情景，曹植步履趋前，远望龙鸿飞舞，一位“肩若削成，腰如约素”、“云髻峨峨，修眉联娟”的洛水女神飘飘而来，而又时隐时现，忽往忽来。后段画洛神驾六龙云车离去，玉鸾、文鱼、鲸鯢等相伴左右，洛神回首张望，依依不舍，一种无奈离析之情显现画面。此图分段描绘赋的内容，构图连贯，主要人物随着赋意，反复出现。设色浓艳，画法古拙，山石树木钩填无皴，“列植之状，则若伸臂布指”，所谓“人大于山，水不容泛”，系初唐以前画风。引首有清高宗弘历行书“妙入毫巔”。卷后有元赵孟頫行书《洛神赋》、李衎、虞集、明沈度、吴宽诗跋均伪。又乾隆诗题。钤“明昌”、“御府寶繪”、“群玉中秘”、“明昌御鑒”及清内府乾隆、嘉庆、宣统诸藏印。此图不书《洛神赋》文，亦无名款，从画法、绢、色等方面研究，当为宋人摹本，但画风仍存六朝遗韵，其原本传为顾恺之所作。《石渠宝笈·初编》、《石渠随笔》著录。
顾恺之女史箴图卷（宋摹）,东晋,http://www.dpm.org.cn/Uploads/Picture/2017/04/11/s58ec852aaaeb0.jpg,人物,顾恺之 (宋摹),《女史箴图》卷（宋摹），东晋，顾恺之绘，纸本，墨笔，横601厘米，纵27.9厘米。《女史箴》是西晋广武侯张华所写，文字内容是关于女子的德行操守，以教化训诫为目的。顾恺之将文中故事以图画的形式加以描绘，使之通俗易懂。现存《女史箴图》最早的画本是唐代摹本，原为清宫旧藏，现藏于大英博物馆。此卷为宋人摹本，全图有画11段，分别为“樊姬感庄”、“卫女矫桓”、“冯婕妤挡熊”、“班婕妤辞辇”、“防微虑远”、“知饰其性”、“出其言善”、“灵监无象”、“欢不可以渎”、“静恭自思”、“女史司箴”。本卷为白描人物，笔法流利，线条细劲连绵，比高古游丝描又多了几份挺健，更接近李公麟一派。人物形象有古意，此卷宋摹本较唐摹本画面内容多两段，对了解《女史箴图》母本及其流传，以及早期人物画法的演变具有重要的参考价值。引首为乾隆帝御书“王化之始”四字，后有包希鲁、谢询、张美和、赵谦等题记。本幅钤乾隆、嘉庆、宣统、梁清标等印22方。《石渠宝笈初编》卷32、35著录。
顾恺之列女仁智图卷（宋摹）,东晋,http://www.dpm.org.cn/Uploads/Picture/2017/03/31/s58de19af040eb.jpg,人物,顾恺之（宋摹）,《列女仁智图》卷，绢本，墨笔淡着色，纵25.8厘米，横417.8厘米。《列女仁智图》卷旧传东晋顾恺之作，此为南宋人摹本。汉成帝沉湎于酒色，宠信赵飞燕姐妹，朝政大权旁落于外戚手中，危及刘氏政权。楚元王四世孙光禄大夫刘向（前77－前6年）针对这一情况，采摘自古以来诗书上所记载的贤妃、贞妇、宠姬等资料，编辑成《列女传》一书呈送汉成帝，希望他从中吸取经验教训，以维护刘氏政权。全书按妇女的封建行为道德准则和给国家带来的治、乱后果，分为母仪、贤明、仁智、贞顺、节义、辩通、孽嬖七卷，此即其中“仁智卷”部分。仁智卷共收集15个列女故事。此卷为残本，其中“楚武邓曼”、“许穆夫人”、“曹僖氏妻”、“孙叔敖母”、“晋伯宗妻”、“灵公夫人”、“晋羊叔姬”7个故事保存完整。“齐灵仲子”、“晋范氏母”、“鲁漆室女”3个故事只存一半，其余5个故事则全丢失，又错将“鲁漆室女”之右半与“晋范氏母”之左半拼接在一起，使人误以为是一个故事。此卷多处保存了汉代的衣冠制度，如男子头戴进贤冠，身着曲线大袖袍，腰结绶带并配挂长剑；女子梳着垂髾髻，身着深衣，特别是眉毛涂以朱色，是模仿赵昭仪的新妆，这些都表现了特定时期的风俗和时尚。又蘧伯玉所乘坐的马车称“轺车”，亦为汉代形制，描绘得非常细致而无错误，这些都可以从大量出土的汉代画像石、砖和壁画中找到与之相应的图象。在北魏司马金龙墓出土的漆屏风画《列女古贤图》中，表现卫灵公与夫人夜坐闻马车声的一段，与此卷所表现的同一内容相比较，无论是构图布局还是人物的姿态手势都非常近似，可以证实其与《列女仁智图》同出自一个古本。而在传摩过程中，后者更为忠实于古本原作。据《汉书》记载，刘向在向汉成帝呈送《列女传》的同时，还呈送了《列女颂图》，并画为屏风。汉成帝的班婕妤失宠后，在她的诗中曾谈到在宫内看到《列女图》，并以此来鉴戒自己。这些都载在班固所著的《汉书》中。东汉时代的画像石、砖中，有不少表现列女故事的题材。画史并载蔡邕曾创作有《小列女图》。这一时期《列女图》的大量出现，既是出于宫廷政治斗争的需要，同时也是为了在社会上广泛推行妇女的道德教育，借以维护封建秩序。根据《列女仁智图》中保存有较多的汉代风俗，以及其构图形式的古朴，推测此卷的原本应当出自于东汉时代，而祖本则为刘向所创。剔除后世在反复传摹中所附加的痕迹，仍然能透视二千年前汉代宫廷绘画的艺术光辉。其人物线条粗犷流畅，造型准确。特别是对妇女的描绘，体态轻盈，婀娜多姿，尤为绝妙。构图布局则与汉画像石一脉相承。《列女传》及《列女仁智图》在宋代有多本，此是被保留下来的惟一的一本，尤为珍贵。
展子虔游春图卷,隋,http://www.dpm.org.cn/Uploads/Picture/2017/04/14/s58f0369909222.jpg,山水,展子虔,《游春图》卷，隋，展子虔作，绢本，设色，纵43厘米，横80.5厘米。这是一幅山水画，描绘了人们在风和日丽，春光明媚的季节，到山间水旁“踏青”游玩的情景。全画以自然景色为主，人物点缀其间。湖边一条曲折的小径，蜿蜒伸入幽静的山谷。人们或骑马，或步行，沿途观赏着青山绿水、花团锦簇的胜境。在波光粼粼的湖面上，一艘游艇缓缓荡漾，船上坐着的几个女子似被四周景色所陶醉，流连忘返。山腰和山坳间建有几处佛寺，十分幽静，令人神往。画家运用细而有力的线条勾画出物象的轮廓，人物虽然小如豆粒，但一丝不苟，形态毕现。山石树木只用线条画出，可以看到行笔的轻重、粗细、顿挫、转折的变化，但尚未见到唐代以后绘画中出现的皴擦技法。作品的色彩浓丽厚重，山石树木均以矿物制成的石青、石绿颜料赋色，以青绿的色彩为主调，建筑物和人物、马匹间以红、白诸色，既统一和谐，又富有变化。亮丽的色彩亦更好地衬托出大好河山盎然勃发的春天气息。《游春图》卷历来被认为是隋朝画家展子虔的作品，代表了中国早期山水画的面貌。近些年有学者对于这幅作品的作者和时代提出了不同的看法，引起了讨论。
阎立本步辇图卷,唐,http://www.dpm.org.cn/Uploads/Picture/2017/04/14/s58f0366d0cd9b.jpg,人物,阎立本,《步辇图》卷，唐，阎立本作，绢本，设色，纵38.5厘米，横129厘米。这是一幅历史画。它反映唐代初年一个重大的历史事件。公元七世纪，地处我国西南的吐蕃（今西藏地区）开始强大兴盛，其三十二世赞普松赞干布是个“骁勇多英略”的领袖。贞观八年（634年），他遣使臣到长安（今陕西西安），向唐王朝求婚联姻，唐太宗李世民答应了他的请求，决定将宗室女文成公主许配给松赞干布。贞观十五年（641年）春天，松赞干布派相国禄东赞到长安来迎接文成公主，唐太宗李世民则派礼部尚书江夏王宗室李道宗陪同文成公主进吐蕃。文成公主除了带去很多中原地区的文化典籍外，随行的还有许多各种行业的工匠，对于促进吐蕃经济、文化的发展起到了重要的作用。此后很长一段时间里，唐王朝和吐蕃之间关系融洽，和睦相处。阎立本以此为题，绘制了这幅歌颂古代汉、藏民族友好交往的作品。画幅描绘的是唐太宗李世民在宫内接见松赞干布派来的吐蕃使臣禄东赞的情景。李世民端坐在由六名宫女抬着的坐榻（又称步辇，图画即以此为名）上，另有三个宫女分别在前后掌扇和持华盖。唐太宗面前站立三人：最右者，身穿大红袍，是这次仪式的引见官员；中间是吐蕃的使臣禄东赞，拱手而立，发型和服饰与中原地区不同；最左为一穿白袍的内官。按照画家阎立本当时的地位和身份，他完全可能是这次历史性会见的目击者，所以他笔下的人物非常真实、生动。唐太宗李世民的威严，使臣禄东赞的干练、谦和，引见官员和内侍的恭谨，年轻宫女的天真活泼，都各具特点，跃然绢上，禄东赞和唐太宗等人在民族气质上的差别也有所表现。全画以细劲的线条塑造人物形象，线条纯熟，富有变化和表现力；设色浓重、鲜艳，是一幅出色的工笔重彩人物画作品。图中的李世民、禄东赞等人应当带有肖像画特征。
韩滉五牛图卷,唐,http://www.dpm.org.cn/Uploads/Picture/2017/04/14/s58f0362f753ea.jpg,花鸟,韩滉,《五牛图》卷，唐，韩滉作，纸本，设色，纵20.8厘米，横139.8厘米。本图无作者款印，本幅及尾纸上有赵孟頫、孙弘、项元汴、弘历、金农等十四家题记。《五牛图》是目前所见最早作于纸上的绘画，纸质为麻料，具有唐代纸张的特点。图画五牛，形象不一，姿态各异，或行或立，或俯首，或昂头，动态十足。其中一牛完全画成正面，视角独特，显示出作者高超的造型能力。作者以简洁的线条勾勒出牛的骨骼转折，筋肉缠裹，笔法老练流畅，线条富有力度和精确的艺术表现力。牛头部与口鼻处的根根细毛，更是笔笔入微。每头牛皆目光炯炯，作者通过对眼神的着力刻画，将牛既温顺又倔强的性格表现得极为传神。作品完全以牛为表现对象，无背景衬托，造型准确生动，设色清淡古朴，浓淡渲染有别，画面层次丰富，达到了形神兼备之境界。以牛入画是中国古代绘画的传统题材之一，体现了农业古国以农为本的主导思想。韩滉任职宰相期间，注重农业发展，此图可能含有鼓励农耕的意义。《五牛图》是其作品的传世孤本，也是为数寥寥的几件唐代纸绢绘画真迹之一，因此不论其艺术成就还是历史价值都备受世人关注。
伏羲女娲像页,唐,http://www.dpm.org.cn/Uploads/Picture/dc/20214.jpg,人物,未知,"伏羲女娲像页，唐，绢本，设色，纵左222.5厘米，右231厘米，横上115厘米，下94厘米。此图上彩画人首蛇身男女二人，均着窄衫小袖绛红色胡装，二人腰相连，共着一条白裙。男居左，无须，头戴笼冠，张左手执矩，矩上有墨斗（已被腐蚀）。女居在右，束高髻，张右手执规。男女上身相拥，中间两臂相连，下尾盘曲相交四节成螺旋状。两人头上有圆轮，周画圆圈以象征日；尾下有下弯月牙一，周画圆圈以象征月。画面四周面遍布大小相等的圆圈，部分以线相连象征星辰。吐鲁番高昌国至唐西州国时期的墓葬出土了许多伏羲、女娲绢画,画面形式大致相似：人首蛇身，交尾相拥，伏羲持矩，女娲持规。绢画上方有日，下方有月，周围布满丝缕相连的星辰。整幅绢画上宽下窄，与棺形相似，常覆盖于棺上，也有盖于尸上或置于尸旁者，还有张挂或用木钉固定于墓顶的情况。故宫博物院所藏的伏羲女娲绢画系1963年4月出土于新疆吐鲁番阿斯塔那古墓，1963年12月由新疆博物馆拨交故宫博物院。据阿斯塔那古墓考古报告中所示，同期出土的此类绢画共有数十件。在墓室中一般都是画面朝下，用木钉钉在墓顶上。一般认为伏羲所执矩象征地，女娲所执规象征天，用以配合画面上的日月星辰，为墓室营造一个小宇宙。"
伏羲女娲像页,唐,http://www.dpm.org.cn/Uploads/Picture/dc/20215.jpg,人物,未知,伏羲女娲像页，唐，绢本，设色，纵左199.6厘米，右175厘米，横上82厘米，下53.7厘米。吐鲁番遗画。此图上彩画人首蛇身男女二人，均着大袖裙襦汉装，二人腰相连，共穿一条白裙，白裙角饰云头纹。男子居左，微髭，高髻，张左手执矩，右手执剪刀状物搭于女子肩部。女子居右，束高髻，张右手执规，左手执剪刀状物搭于男子肩部。男女上身相拥，下尾盘曲相交两节成螺旋状。两人头上有圆轮一，轮中已残损，漫漶不清，周画圆圈，以线相连象征日。两人尾下有月牙一，内画玉兔，周画圆圈以线相连象征月。画面四周遍布大小相等的圆圈，以线相连象征星辰。1959年故宫博物院成立历代艺术馆，此件《伏羲女娲像》作为历代艺术珍品在基本陈列中展出。《故宫博物院历代艺术馆陈列图目》收录。
坐佛像残片,唐,http://www.dpm.org.cn/Uploads/Picture/dc/20213.jpg,人物,未知,"坐佛像残片,唐，纸本，设色，纵28厘米，横33厘米，单片横16.5厘米。敦煌遗画。此画是二方连续的千佛坐像中之二片，外框画莲瓣形龛，下为菱形团花图案。龛内画坐佛，结跏趺坐于仰莲座上。佛头上有肉髻，双耳垂肩，面部安详，后有头光、身光，头光上有火焰纹。这种二方连续的千佛像常被用作佛经的边缘装饰或经卷里的插图。此画于1957年由上海邵洵美先生捐献故宫博物院。"
敦煌彩画图案残片,唐,http://www.dpm.org.cn/Uploads/Picture/dc/20211.jpg,山水,未知,敦煌彩画图案残片，唐，纸本，设色，纵28厘米，横16.5厘米。图案为横向二方连续，上第三列为卷云纹，以下多为几何图案。以淡墨勾勒，填彩以红绿为主，间有白、绛、赭诸色。因年代久远，色彩显得斑驳不全。题跋：“敦煌千佛洞唐人彩色残画，李木斋氏麐嘉馆旧藏。敦煌写经流传尚多，画极希（稀）有，至可宝贵。己丑中秋何遂识。”下钤朱文“何遂”、白文“叙圃书画”、朱文“丁亥年六十”印三方。此画残片于1955年由何遂先生捐献故宫博物院。据何遂录题跋示曾为李盛铎麐嘉馆收藏。
